Plot,Year,Tree,Browse,Height,Type
1,2008,1,1,115,5T
1,2008,2,1,130,5T
1,2008,3,1,113,5T
1,2008,4,1,110,5T
1,2008,5,0,132,5T
1,2009,1,1,200,5T
1,2009,2,0,208,5T
1,2009,3,0,218,5T
1,2009,4,0,240,5T
1,2009,5,0,260,5T
1,2010,1,0,305,5T
1,2010,2,0,300,5T
1,2010,3,0,317,5T
1,2010,4,0,307,5T
1,2010,5,0,309,5T
1,2011,1,1,305,5T
1,2011,2,1,345,5T
1,2011,3,0,325,5T
1,2011,4,0,360,5T
1,2011,5,0,320,5T
1,2012,1,0,344,5T
1,2012,2,0,305,5T
1,2012,3,0,360,5T
1,2012,4,0,358,5T
1,2012,5,0,372,5T
1,2013,1,0,330,5T
1,2013,2,0,425,5T
1,2013,3,0,373,5T
1,2013,4,0,382,5T
1,2013,5,0,390,5T
1,2014,1,0,400,5T
1,2014,2,0,400,5T
1,2014,3,0,400,5T
1,2014,4,0,385,5T
1,2014,5,0,381,5T
1,2017,1,0,500,5T
1,2017,2,0,500,5T
1,2017,3,0,500,5T
1,2017,4,0,500,5T
1,2017,5,0,500,5T
2,2007,1,1,87,5T
2,2007,2,1,84,5T
2,2007,3,1,82,5T
2,2007,4,1,86,5T
2,2007,5,0,85,5T
2,2008,1,1,102,5T
2,2008,2,1,80,5T
2,2008,3,1,76,5T
2,2008,4,1,80,5T
2,2008,5,0,76,5T
2,2009,1,1,86,5T
2,2009,2,1,84,5T
2,2009,3,1,84,5T
2,2009,4,1,74,5T
2,2009,5,1,82,5T
2,2010,1,1,104,5T
2,2010,2,1,114,5T
2,2010,3,1,92,5T
2,2010,4,1,87,5T
2,2010,5,1,84,5T
2,2011,1,1,130,5T
2,2011,2,1,105,5T
2,2011,3,1,117,5T
2,2011,4,1,137,5T
2,2011,5,1,120,5T
2,2012,1,1,135,5T
2,2012,2,1,157,5T
2,2012,3,0,147,5T
2,2012,4,0,131,5T
2,2012,5,0,149,5T
2,2013,1,1,120,5T
2,2013,2,0,100,5T
2,2013,3,0,110,5T
2,2013,4,0,120,5T
2,2013,5,0,122,5T
2,2014,1,1,96,5T
2,2014,2,1,113,5T
2,2014,3,1,112,5T
2,2014,4,1,124,5T
2,2014,5,1,118,5T
2,2016,1,1,155,5T
2,2016,2,1,144,5T
2,2016,3,0,180,5T
2,2016,4,0,145,5T
2,2016,5,0,141,5T
2,2017,1,1,184,5T
2,2017,2,0,184,5T
2,2017,3,0,187,5T
2,2017,4,0,189,5T
2,2017,5,0,179,5T
3,2007,1,1,220,5T
3,2007,2,1,217,5T
3,2007,3,1,225,5T
3,2007,4,0,224,5T
3,2007,5,0,245,5T
3,2008,1,0,250,5T
3,2008,2,0,242,5T
3,2008,3,0,260,5T
3,2008,4,0,202,5T
3,2008,5,0,350,5T
3,2009,1,0,400,5T
3,2009,2,0,400,5T
3,2009,3,0,400,5T
3,2009,4,0,400,5T
3,2009,5,0,460,5T
3,2010,1,0,400,5T
3,2010,2,0,400,5T
3,2010,3,0,400,5T
3,2010,4,0,400,5T
3,2010,5,0,400,5T
3,2012,1,0,500,5T
3,2012,2,0,500,5T
3,2012,3,0,500,5T
3,2012,4,0,500,5T
3,2012,5,0,500,5T
3,2013,1,0,500,5T
3,2013,2,0,500,5T
3,2013,3,0,500,5T
3,2013,4,0,500,5T
3,2013,5,0,500,5T
3,2014,1,0,425,5T
3,2014,2,0,425,5T
3,2014,3,0,425,5T
3,2014,4,0,425,5T
3,2014,5,0,425,5T
3,2016,1,0,450,5T
3,2016,2,0,450,5T
3,2016,3,0,450,5T
3,2016,4,0,450,5T
3,2016,5,0,450,5T
3,2017,1,0,600,5T
3,2017,2,0,600,5T
3,2017,3,0,600,5T
3,2017,4,0,600,5T
3,2017,5,0,600,5T
4,2007,1,0,279,5T
4,2007,2,0,380,5T
4,2007,3,0,450,5T
4,2007,4,0,360,5T
4,2007,5,0,255,5T
4,2008,1,0,405,5T
4,2008,2,0,440,5T
4,2008,3,0,450,5T
4,2008,4,0,390,5T
4,2008,5,0,320,5T
4,2009,1,0,400,5T
4,2009,2,0,380,5T
4,2009,3,0,340,5T
4,2009,4,0,350,5T
4,2009,5,0,345,5T
4,2010,1,0,400,5T
4,2010,2,0,400,5T
4,2010,3,0,400,5T
4,2010,4,0,400,5T
4,2010,5,0,400,5T
4,2011,1,0,325,5T
4,2011,2,0,325,5T
4,2011,3,0,325,5T
4,2011,4,0,325,5T
4,2011,5,0,325,5T
4,2012,1,0,500,5T
4,2012,2,0,500,5T
4,2012,3,0,500,5T
4,2012,4,0,500,5T
4,2012,5,0,500,5T
4,2013,1,0,450,5T
4,2013,2,0,450,5T
4,2013,3,0,450,5T
4,2013,4,0,450,5T
4,2013,5,0,450,5T
4,2014,1,0,450,5T
4,2014,2,0,450,5T
4,2014,3,0,450,5T
4,2014,4,0,450,5T
4,2014,5,0,450,5T
4,2016,1,0,500,5T
4,2016,2,0,500,5T
4,2016,3,0,500,5T
4,2016,4,0,500,5T
4,2016,5,0,500,5T
4,2017,1,0,500,5T
4,2017,2,0,500,5T
4,2017,3,0,500,5T
4,2017,4,0,500,5T
4,2017,5,0,500,5T
5,2007,1,0,350,5T
5,2007,2,0,350,5T
5,2007,3,0,350,5T
5,2007,4,0,350,5T
5,2007,5,0,350,5T
5,2008,1,0,350,5T
5,2008,2,0,350,5T
5,2008,3,0,350,5T
5,2008,4,0,350,5T
5,2008,5,0,350,5T
5,2009,1,0,550,5T
5,2009,2,0,550,5T
5,2009,3,0,550,5T
5,2009,4,0,550,5T
5,2009,5,0,550,5T
5,2010,1,0,420,5T
5,2010,2,0,420,5T
5,2010,3,0,420,5T
5,2010,4,0,420,5T
5,2010,5,0,420,5T
5,2011,1,0,425,5T
5,2011,2,0,425,5T
5,2011,3,0,425,5T
5,2011,4,0,425,5T
5,2011,5,0,425,5T
5,2012,1,0,500,5T
5,2012,2,0,500,5T
5,2012,3,0,500,5T
5,2012,4,0,500,5T
5,2012,5,0,500,5T
5,2013,1,0,500,5T
5,2013,2,0,500,5T
5,2013,3,0,500,5T
5,2013,4,0,500,5T
5,2013,5,0,500,5T
5,2014,1,0,500,5T
5,2014,2,0,500,5T
5,2014,3,0,500,5T
5,2014,4,0,500,5T
5,2014,5,0,500,5T
5,2016,1,0,550,5T
5,2016,2,0,550,5T
5,2016,3,0,550,5T
5,2016,4,0,550,5T
5,2016,5,0,550,5T
5,2017,1,0,600,5T
5,2017,2,0,600,5T
5,2017,3,0,600,5T
5,2017,4,0,600,5T
5,2017,5,0,600,5T
6,2008,1,0,120,5T
6,2008,2,0,113,5T
6,2008,3,0,120,5T
6,2008,4,0,116,5T
6,2008,5,0,112,5T
6,2009,1,1,107,5T
6,2009,2,1,134,5T
6,2009,3,1,139,5T
6,2009,4,1,128,5T
6,2009,5,0,135,5T
6,2010,1,1,147,5T
6,2010,2,1,138,5T
6,2010,3,1,136,5T
6,2010,4,1,117,5T
6,2010,5,1,121,5T
6,2011,1,0,190,5T
6,2011,2,0,160,5T
6,2011,3,0,165,5T
6,2011,4,0,160,5T
6,2011,5,0,165,5T
6,2012,1,0,212,5T
6,2012,2,0,200,5T
6,2012,3,0,175,5T
6,2012,4,0,150,5T
6,2012,5,0,166,5T
6,2013,1,0,210,5T
6,2013,2,0,195,5T
6,2013,3,0,212,5T
6,2013,4,0,242,5T
6,2013,5,0,235,5T
6,2014,1,1,227,5T
6,2014,2,0,202,5T
6,2014,3,0,240,5T
